# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,daypart,window,base_score,base_band
Woodward Core,Breakfast / Brunch Cafe,Wed,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Thu,morning,06:00-11:00,21.8,Light
Woodward Core,Breakfast / Brunch Cafe,Thu,midday,11:00-16:00,28.4,Light
Woodward Core,Breakfast / Brunch Cafe,Thu,dinner,16:00-21:00,2.3,Minimal
Woodward Core,Breakfast / Brunch Cafe,Thu,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Fri,morning,06:00-11:00,27.2,Light
Woodward Core,Breakfast / Brunch Cafe,Fri,midday,11:00-16:00,40.0,Moderate
Woodward Core,Breakfast / Brunch Cafe,Fri,dinner,16:00-21:00,4.7,Minimal
Woodward Core,Breakfast / Brunch Cafe,Fri,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Sat,morning,06:00-11:00,36.6,Light
Woodward Core,Breakfast / Brunch Cafe,Sat,midday,11:00-16:00,86.0,Peak
Woodward Core,Breakfast / Brunch Cafe,Sat,dinner,16:00-21:00,5.3,Minimal
Woodward Core,Breakfast / Brunch Cafe,Sat,late,21:00-02:00,0.0,Minimal
Woodward Core,Breakfast / Brunch Cafe,Sun,morning,06:00-11:00,30.3,Light
Woodward Core,Breakfast / Brunch Cafe,Sun,midday,11:00-16:00,82.5,High
Woodward Core,Breakfast / Brunch Cafe,Sun,dinner,16:00-21:00,3.6,Minimal
Woodward Core,Breakfast / Brunch Cafe,Sun,late,21:00-02:00,0.0,Minimal
Woodward Core,Sports Bar,Mon,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Mon,midday,11:00-16:00,13.5,Minimal
Woodward Core,Sports Bar,Mon,dinner,16:00-21:00,25.2,Light
Woodward Core,Sports Bar,Mon,late,21:00-02:00,6.8,Minimal
Woodward Core,Sports Bar,Tue,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Tue,midday,11:00-16:00,13.6,Minimal
Woodward Core,Sports Bar,Tue,dinner,16:00-21:00,24.5,Light
Woodward Core,Sports Bar,Tue,late,21:00-02:00,6.3,Minimal
Woodward Core,Sports Bar,Wed,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Wed,midday,11:00-16:00,15.6,Minimal
Woodward Core,Sports Bar,Wed,dinner,16:00-21:00,28.0,Light
Woodward Core,Sports Bar,Wed,late,21:00-02:00,7.2,Minimal
Woodward Core,Sports Bar,Thu,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Thu,midday,11:00-16:00,17.6,Minimal
Woodward Core,Sports Bar,Thu,dinner,16:00-21:00,37.4,Light
Woodward Core,Sports Bar,Thu,late,21:00-02:00,11.4,Minimal
Woodward Core,Sports Bar,Fri,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Fri,midday,11:00-16:00,24.5,Light
Woodward Core,Sports Bar,Fri,dinner,16:00-21:00,40.8,Moderate
Woodward Core,Sports Bar,Fri,late,21:00-02:00,29.0,Light
Woodward Core,Sports Bar,Sat,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Sat,midday,11:00-16:00,33.0,Light
Woodward Core,Sports Bar,Sat,dinner,16:00-21:00,42.8,Moderate
Woodward Core,Sports Bar,Sat,late,21:00-02:00,28.3,Light
Woodward Core,Sports Bar,Sun,morning,06:00-11:00,0.0,Minimal
Woodward Core,Sports Bar,Sun,midday,11:00-16:00,23.4,Light
Woodward Core,Sports Bar,Sun,dinner,16:00-21:00,37.6,Light
Woodward Core,Sports Bar,Sun,late,21:00-02:00,10.1,Minimal
Woodward Core,Cocktail Lounge,Mon,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Mon,midday,11:00-16:00,0.5,Minimal
Woodward Core,Cocktail Lounge,Mon,dinner,16:00-21:00,3.7,Minimal
Woodward Core,Cocktail Lounge,Mon,late,21:00-02:00,2.5,Minimal
Woodward Core,Cocktail Lounge,Tue,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Tue,midday,11:00-16:00,0.8,Minimal
Woodward Core,Cocktail Lounge,Tue,dinner,16:00-21:00,6.8,Minimal
Woodward Core,Cocktail Lounge,Tue,late,21:00-02:00,4.6,Minimal
Woodward Core,Cocktail Lounge,Wed,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Wed,midday,11:00-16:00,2.0,Minimal
Woodward Core,Cocktail Lounge,Wed,dinner,16:00-21:00,16.1,Minimal
Woodward Core,Cocktail Lounge,Wed,late,21:00-02:00,10.9,Minimal
Woodward Core,Cocktail Lounge,Thu,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Thu,midday,11:00-16:00,5.6,Minimal
Woodward Core,Cocktail Lounge,Thu,dinner,16:00-21:00,42.2,Moderate
Woodward Core,Cocktail Lounge,Thu,late,21:00-02:00,32.5,Light
Woodward Core,Cocktail Lounge,Fri,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Fri,midday,11:00-16:00,5.4,Minimal
Woodward Core,Cocktail Lounge,Fri,dinner,16:00-21:00,61.9,Moderate
Woodward Core,Cocktail Lounge,Fri,late,21:00-02:00,58.8,Moderate
Woodward Core,Cocktail Lounge,Sat,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Sat,midday,11:00-16:00,5.4,Minimal
Woodward Core,Cocktail Lounge,Sat,dinner,16:00-21:00,61.4,Moderate
Woodward Core,Cocktail Lounge,Sat,late,21:00-02:00,58.2,Moderate
Woodward Core,Cocktail Lounge,Sun,morning,06:00-11:00,0.0,Minimal
Woodward Core,Cocktail Lounge,Sun,midday,11:00-16:00,1.4,Minimal
Woodward Core,Cocktail Lounge,Sun,dinner,16:00-21:00,11.2,Minimal
Woodward Core,Cocktail Lounge,Sun,late,21:00-02:00,7.6,Minimal
Greektown / Casino District,Fine Dining,Mon,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Mon,midday,11:00-16:00,1.7,Minimal
Greektown / Casino District,Fine Dining,Mon,dinner,16:00-21:00,8.1,Minimal
Greektown / Casino District,Fine Dining,Mon,late,21:00-02:00,0.9,Minimal
Greektown / Casino District,Fine Dining,Tue,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Tue,midday,11:00-16:00,3.8,Minimal
Greektown / Casino District,Fine Dining,Tue,dinner,16:00-21:00,16.6,Minimal
Greektown / Casino District,Fine Dining,Tue,late,21:00-02:00,2.0,Minimal
Greektown / Casino District,Fine Dining,Wed,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Wed,midday,11:00-16:00,7.6,Minimal
Greektown / Casino District,Fine Dining,Wed,dinner,16:00-21:00,32.8,Light
Greektown / Casino District,Fine Dining,Wed,late,21:00-02:00,4.0,Minimal
Greektown / Casino District,Fine Dining,Thu,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Thu,midday,11:00-16:00,14.1,Minimal
Greektown / Casino District,Fine Dining,Thu,dinner,16:00-21:00,65.2,High
Greektown / Casino District,Fine Dining,Thu,late,21:00-02:00,12.1,Minimal
Greektown / Casino District,Fine Dining,Fri,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Fri,midday,11:00-16:00,15.0,Minimal
Greektown / Casino District,Fine Dining,Fri,dinner,16:00-21:00,88.5,Peak
Greektown / Casino District,Fine Dining,Fri,late,21:00-02:00,28.7,Light
Greektown / Casino District,Fine Dining,Sat,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Sat,midday,11:00-16:00,16.8,Minimal
Greektown / Casino District,Fine Dining,Sat,dinner,16:00-21:00,98.7,Peak
Greektown / Casino District,Fine Dining,Sat,late,21:00-02:00,32.0,Light
Greektown / Casino District,Fine Dining,Sun,morning,06:00-11:00,0.0,Minimal
Greektown / Casino District,Fine Dining,Sun,midday,11:00-16:00,2.4,Minimal
Greektown / Casino District,Fine Dining,Sun,dinner,16:00-21:00,11.9,Minimal
Greektown / Casino District,Fine Dining,Sun,late,21:00-02:00,1.0,Minimal
Greektown / Casino District,Upscale Casual,Mon,morning,06:00-11:00,0.5,Minimal
Greektown / Casino District,Upscale Casual,Mon,midday,11:00-16:00,5.2,Minimal
Greektown / Casino District,Upscale Casual,Mon,dinner,16:00-21:00,12.3,Minimal
Greektown / Casino District,Upscale Casual,Mon,late,21:00-02:00,1.6,Minimal
Greektown / Casino District,Upscale Casual,Tue,morning,06:00-11:00,0.7,Minimal
Greektown / Casino District,Upscale Casual,Tue,midday,11:00-16:00,8.2,Minimal
Greektown / Casino District,Upscale Casual,Tue,dinner,16:00-21:00,19.6,Minimal
Greektown / Casino District,Upscale Casual,Tue,late,21:00-02:00,2.6,Minimal
Greektown / Casino District,Upscale Casual,Wed,morning,06:00-11:00,1.2,Minimal
Greektown / Casino District,Upscale Casual,Wed,midday,11:00-16:00,12.3,Minimal
Greektown / Casino District,Upscale Casual,Wed,dinner,16:00-21:00,31.2,Light
Greektown / Casino District,Upscale Casual,Wed,late,21:00-02:00,5.3,Minimal
Greektown / Casino District,Upscale Casual,Thu,morning,06:00-11:00,1.8,Minimal
Greektown / Casino District,Upscale Casual,Thu,midday,11:00-16:00,17.9,Minimal
Greektown / Casino District,Upscale Casual,Thu,dinner,16:00-21:00,47.8,Moderate
Greektown / Casino District,Upscale Casual,Thu,late,21:00-02:00,11.0,Minimal
Greektown / Casino District,Upscale Casual,Fri,morning,06:00-11:00,2.5,Minimal
Greektown / Casino District,Upscale Casual,Fri,midday,11:00-16:00,19.4,Minimal
Greektown / Casino District,Upscale Casual,Fri,dinner,16:00-21:00,65.8,High
Greektown / Casino District,Upscale Casual,Fri,late,21:00-02:00,22.7,Light
Greektown / Casino District,Upscale Casual,Sat,morning,06:00-11:00,4.5,Minimal
Greektown / Casino District,Upscale Casual,Sat,midday,11:00-16:00,29.7,Light
Greektown / Casino District,Upscale Casual,Sat,dinner,16:00-21:00,64.6,Moderate
Greektown / Casino District,Upscale Casual,Sat,late,21:00-02:00,19.8,Minimal
Greektown / Casino District,Upscale Casual,Sun,morning,06:00-11:00,1.6,Minimal
Greektown / Casino District,Upscale Casual,Sun,midday,11:00-16:00,12.5,Minimal
Greektown / Casino District,Upscale Casual,Sun,dinner,16:00-21:00,25.2,Light
Greektown / Casino District,Upscale Casual,Sun,late,21:00-02:00,2.5,Minimal
Greektown / Casino District,Casual Dining,Mon,morning,06:00-11:00,1.4,Minimal
Greektown / Casino District,Casual Dining,Mon,midday,11:00-16:00,11.4,Minimal
Greektown / Casino District,Casual Dining,Mon,dinner,16:00-21:00,19.1,Minimal
Greektown / Casino District,Casual Dining,Mon,late,21:00-02:00,3.0,Minimal
Greektown / Casino District,Casual Dining,Tue,morning,06:00-11:00,1.6,Minimal
Greektown / Casino District,Casual Dining,Tue,midday,11:00-16:00,13.1,Minimal
Greektown / Casino District,Casual Dining,Tue,dinner,16:00-21:00,21.9,Light
Greektown / Casino District,Casual Dining,Tue,late,21:00-02:00,3.4,Minimal
Greektown / Casino District,Casual Dining,Wed,morning,06:00-11:00,2.0,Minimal
Greektown / Casino District,Casual Dining,Wed,midday,11:00-16:00,15.8,Minimal
Greektown / Casino District,Casual Dining,Wed,dinner,16:00-21:00,28.5,Light
Greektown / Casino District,Casual Dining,Wed,late,21:00-02:00,5.0,Minimal
Greektown / Casino District,Casual Dining,Thu,morning,06:00-11:00,2.7,Minimal
Greektown / Casino District,Casual Dining,Thu,midday,11:00-16:00,19.9,Minimal
Greektown / Casino District,Casual Dining,Thu,dinner,16:00-21:00,38.1,Light
Greektown / Casino District,Casual Dining,Thu,late,21:00-02:00,8.4,Minimal
Greektown / Casino District,Casual Dining,Fri,morning,06:00-11:00,3.6,Minimal
Greektown / Casino District,Casual Dining,Fri,midday,11:00-16:00,23.5,Light
Greektown / Casino District,Casual Dining,Fri,dinner,16:00-21:00,51.0,Moderate
Greektown / Casino District,Casual Dining,Fri,late,21:00-02:00,15.7,Minimal
Greektown / Casino District,Casual Dining,Sat,morning,06:00-11:00,3.9,Minimal
Greektown / Casino District,Casual Dining,Sat,midday,11:00-16:00,29.7,Light
Greektown / Casino District,Casual Dining,Sat,dinner,16:00-21:00,51.9,Moderate
Greektown / Casino District,Casual Dining,Sat,late,21:00-02:00,14.6,Minimal
Greektown / Casino District,Casual Dining,Sun,morning,06:00-11:00,2.3,Minimal
Greektown / Casino District,Casual Dining,Sun,midday,11:00-16:00,20.2,Light
Greektown / Casino District,Casual Dining,Sun,dinner,16:00-21:00,32.2,Light
Greektown / Casino District,Casual Dining,Sun,late,21:00-02:00,3.6,Minimal
Greektown / Casino District,Fast Casual,Mon,morning,06:00-11:00,4.3,Minimal
Greektown / Casino District,Fast Casual,Mon,midday,11:00-16:00,30.8,Light
Greektown / Casino District,Fast Casual,Mon,dinner,16:00-21:00,15.5,Minimal
Greektown / Casino District,Fast Casual,Mon,late,21:00-02:00,0.0,Minimal
